call_sign,dma,network_affiliate,fcc_callsign,fcc_dma,
KBMTDT2,BEAUMONT-PORT ARTHUR,ABC, NBC,KBMT,BEAUMONT-PORT ARTHUR
KLASDT,LAS VEGAS,CBS,KLAS-TV,LAS VEGAS,
KDBCDT,EL PASO (LAS CRUCES),CBS,KDBC-TV,EL PASO (LAS CRUCES),
KGANDT,CEDAR RAPIDS-WTRLO-IWC&DUB,CBS,KGAN,CEDAR RAPIDS-WTRLO-IWC&DUB,
WOIDT,DES MOINES-AMES,ABC,WOI-DT,DES MOINES-AMES,
WALBDT,ALBANY GA,NBC,WALB,ALBANY GA,
KBMTDT,BEAUMONT-PORT ARTHUR,ABC, NBC,KBMT,BEAUMONT-PORT ARTHUR
GOLFHD,LOS ANGELES,,,,
WUPVDT,RICHMOND-PETERSBURG,CW,WUPV,RICHMOND-PETERSBURG,
KUEDDT,SALT LAKE CITY,PBS,KUED,SALT LAKE CITY,
WALADT,MOBILE-PENSACOLA (FT WALT),FOX,WALA-TV,MOBILE-PENSACOLA (FT WALT),
ZLVINGH,NEW YORK,,,,
WTNHDT,HARTFORD & NEW HAVEN,ABC,WTNH,HARTFORD & NEW HAVEN,
WLSDT,CHICAGO,ABC,WLS-TV,CHICAGO,
WCWNDT,ALBANY-SCHENECTADY-TROY,CW,WCWN,ALBANY-SCHENECTADY-TROY,
WDBJDT,ROANOKE-LYNCHBURG,CBS,WDBJ,ROANOKE-LYNCHBURG,
RFDHD,DALLAS-FT. WORTH,,,,
WPBFDT,WEST PALM BEACH-FT. PIERCE,ABC,WPBF,WEST PALM BEACH-FT. PIERCE,
WPMIDT,MOBILE-PENSACOLA (FT WALT),NBC,WPMI-TV,MOBILE-PENSACOLA (FT WALT),
HMMHD,LOS ANGELES,,,,
WCSCDT,CHARLESTON SC,CBS,WCSC-TV,CHARLESTON SC,
WXIIDT,GREENSBORO-H.POINT-W.SALEM,NBC,WXII-TV,GREENSBORO-H.POINT-W.SALEM,
STRZCIH,LOS ANGELES,,,,
BLOOMHD,NEW YORK,,,,
WPXTDT,PORTLAND-AUBURN,CW,WPXT,PORTLAND-AUBURN,
WGHPDT,GREENSBORO-H.POINT-W.SALEM,FOX,WGHP,GREENSBORO-H.POINT-W.SALEM,
WTMJDT,MILWAUKEE,NBC,WTMJ-TV,MILWAUKEE,
KCCIDT,DES MOINES-AMES,CBS,KCCI,DES MOINES-AMES,
WGNTDT,NORFOLK-PORTSMTH-NEWPT NWS,THE CW NETWORK,WGNT,NORFOLK-PORTSMTH-NEWPT NWS,
WSYRDT,SYRACUSE,ABC,WSYR-TV,SYRACUSE,
KSTWDT,SEATTLE-TACOMA,THE CW NETWORK,KSTW,SEATTLE-TACOMA,
KTIVDT,SIOUX CITY,NBC,KTIV,SIOUX CITY,
KVIADT2,EL PASO (LAS CRUCES),ABC,KVIA-TV,EL PASO (LAS CRUCES),
WITIDT,MILWAUKEE,FOX,WITI,MILWAUKEE,
KGETDT2,BAKERSFIELD,NBC,KGET-TV,BAKERSFIELD,
KVIIDT2,AMARILLO,CBS,KVII-TV,AMARILLO,
CSNCH,CHICAGO,,,,
KMEGDT,SIOUX CITY,CBS,KMEG,SIOUX CITY,
WEATHHD,NEW YORK,ABC,WEAR-TV,MOBILE-PENSACOLA (FT WALT),
KDNLDT2,ST. LOUIS,ABC,KDNL-TV,ST. LOUIS,
KUNSDT,SEATTLE-TACOMA,UNIVISION,KUNS-TV,SEATTLE-TACOMA,
WANDDT,CHAMPAIGN&SPRNGFLD-DECATUR,NBC,WAND,CHAMPAIGN&SPRNGFLD-DECATUR,
STZKHD,NEW YORK,,,,
WESHDT,ORLANDO-DAYTONA BCH-MELBRN,NBC,WESH,ORLANDO-DAYTONA BCH-MELBRN,
WEHD,NEW YORK,-,WESL-LP,-,
HBOCHD,LOS ANGELES,,,,
INSPHD,ATLANTA,,,,
WCIVDT,CHARLESTON SC,MYTV,WCIV,CHARLESTON SC,
KOLNDT,LINCOLN & HASTINGS-KRNY,CBS,KOLN,LINCOLN & HASTINGS-KRNY,
FS1HD,LOS ANGELES,,,,
WTVGDT,TOLEDO,ABC,WTVG,TOLEDO,
WSOCDT,CHARLOTTE,ABC,WSOC-TV,CHARLOTTE,
BLAZEHD,LOS ANGELES,,,,
KCTSDT,SEATTLE-TACOMA,PBS,KCTS-TV,SEATTLE-TACOMA,
WBTWDT,MYRTLE BEACH-FLORENCE,CBS,WBTW,MYRTLE BEACH-FLORENCE,
WDTNDT,DAYTON,NBC,WDTN,DAYTON,
WGALDT,HARRISBURG-LNCSTR-LEB-YORK,NBC,WGAL,HARRISBURG-LNCSTR-LEB-YORK,
WABMDT,BIRMINGHAM (ANN AND TUSC),MYTV,WABM,BIRMINGHAM (ANN TUSC),
WTRFDT3,WHEELING-STEUBENVILLE,CBS,WTRF-TV,WHEELING-STEUBENVILLE,
FOODHD,LOS ANGELES,,,,
WEEKDT,PEORIA-BLOOMINGTON,NBC,WEEK-TV,PEORIA-BLOOMINGTON,
WMGTDT,MACON,NBC,WMGT-TV,MACON,
MNBCHD,NEW YORK,,,,
KVUEDT,AUSTIN,ABC,KVUE,AUSTIN,
WNWODT,TOLEDO,NBC,WNWO-TV,TOLEDO,
WWORDT,NEW YORK,MY NETWORK,WWOR-TV,NEW YORK,
KAMRDT,AMARILLO,NBC,KAMR-TV,AMARILLO,
