call_sign,dma,network_affiliate,fcc_callsign,fcc_dma,
KFFXDT,YAKIMA-PASCO-RCHLND-KNNWCK,FOX,KFFX-TV,YAKIMA-PASCO-RCHLND-KNNWCK,
KFDMDT,BEAUMONT-PORT ARTHUR,CBS,KFDM,BEAUMONT-PORT ARTHUR,
WTWCDT,TALLAHASSEE-THOMASVILLE,NBC,WTWC-TV,TALLAHASSEE-THOMASVILLE,
KIIIDT,CORPUS CHRISTI,ABC,KIII,CORPUS CHRISTI,
KSEEDT,FRESNO-VISALIA,NBC,KSEE,FRESNO-VISALIA,
FS2HD,LOS ANGELES,,,,
HSTRYHD,LOS ANGELES,,,,
CNNHD,LOS ANGELES,,,,
WMBDDT,PEORIA-BLOOMINGTON,CBS,WMBD-TV,PEORIA-BLOOMINGTON,
MAXHD,LOS ANGELES,,,,
WTSPDT,TAMPA-ST. PETE (SARASOTA),CBS,WTSP,TAMPA-ST. PETE (SARASOTA),
WLKYDT,LOUISVILLE,CBS,WLKY,LOUISVILLE,
VH1HD,NEW YORK,,,,
WISDT,COLUMBIA SC,CBS,WISH-TV,INDIANAPOLIS,
KIVIDT,BOISE,ABC,KIVI-TV,BOISE,
WMAZDT,MACON,CBS,WMAZ-TV,MACON,
WTVXDT2,WEST PALM BEACH-FT. PIERCE,CW,WTVX,WEST PALM BEACH-FT. PIERCE,
WFXTDT,BOSTON (MANCHESTER),FOX,WFXT,BOSTON (MANCHESTER),
MLBHD,LOS ANGELES,,,,
WLTXDT,COLUMBIA SC,CBS,WLTX,COLUMBIA SC,
WYCWDT,GREENVLL-SPART-ASHEVLL-AND,CW,WYCW,GREENVLL-SPART-ASHEVLL-AND,
WWMTDT,GRAND RAPIDS-KALMZOO-B.CRK,CBS,WWMT,GRAND RAPIDS-KALMZOO-B.CRK,
KVEODT,HARLINGEN-WSLCO-BRNSVL-MCA,NBC,KVEO-TV,HARLINGEN-WSLCO-BRNSVL-MCA,
WOFLDT,ORLANDO-DAYTONA BCH-MELBRN,FOX,WOFL,ORLANDO-DAYTONA BCH-MELBRN,
WTVRDT,RICHMOND-PETERSBURG,CBS,WTVR-TV,RICHMOND-PETERSBURG,
WMAQDT,CHICAGO,NBC,WMAQ-TV,CHICAGO,
KDRVDT,MEDFORD-KLAMATH FALLS,ABC,KDRV,MEDFORD-KLAMATH FALLS,
WPTVDT,WEST PALM BEACH-FT. PIERCE,NBC,WPTV-TV,WEST PALM BEACH-FT. PIERCE,
NBCSNHD,LOS ANGELES,,,,
WFXBDT,MYRTLE BEACH-FLORENCE,FOX,WFXB,MYRTLE BEACH-FLORENCE,
VEL,LOS ANGELES,,,,
WOAIDT,SAN ANTONIO,NBC,WOAI-TV,SAN ANTONIO,
WFRVDT,GREEN BAY-APPLETON,CBS,WFRV-TV,GREEN BAY-APPLETON,
KMSPDT,MINNEAPOLIS-ST. PAUL,FOX,KMSP-TV,MINNEAPOLIS-ST. PAUL,
KSTUDT,SALT LAKE CITY,FOX,KSTU,SALT LAKE CITY,
WUSADT,WASHINGTON DC (HAGRSTWN),CBS,WUSA,WASHINGTON DC (HAGRSTWN),
KASNDT,LITTLE ROCK-PINE BLUFF,CW,KASN,LITTLE ROCK-PINE BLUFF,
KPLRDT,ST. LOUIS,CW,KPLR-TV,ST. LOUIS,
SMTHHD,LOS ANGELES,,,,
WGCLDT,ATLANTA,CBS,WGCL-TV,ATLANTA,
WGEMDT,QUINCY-HANNIBAL-KEOKUK,NBC,WGEM-TV,QUINCY-HANNIBAL-KEOKUK,
STOHD,CLEVELAND-AKRON (CANTON),,,,
SHOWXHD,NEW YORK,,,,
WTRFDT,WHEELING-STEUBENVILLE,CBS,WTRF-TV,WHEELING-STEUBENVILLE,
WJLADT,WASHINGTON DC (HAGRSTWN),ABC,WJLA-TV,WASHINGTON DC (HAGRSTWN),
WEARDT,MOBILE-PENSACOLA (FT WALT),ABC,WEAR-TV,MOBILE-PENSACOLA (FT WALT),
WGBADT,GREEN BAY-APPLETON,NBC,WGBA-TV,GREEN BAY-APPLETON,
KVALDT,EUGENE,CBS,KVAL-TV,EUGENE,
KSTPDT,MINNEAPOLIS-ST. PAUL,ABC,KSTP-TV,MINNEAPOLIS-ST. PAUL,
KENSDT,SAN ANTONIO,CBS,KENS,SAN ANTONIO,
MOVIEHD,LOS ANGELES,,,,
WDCWDT,WASHINGTON DC (HAGRSTWN),CW,WDCW,WASHINGTON DC (HAGRSTWN),
KVCWDT,LAS VEGAS,CW,KVCW,LAS VEGAS,
WPRIDT,PROVIDENCE-NEW BEDFORD,CBS,WPRI-TV,PROVIDENCE-NEW BEDFORD,
KRXIDT,RENO,FOX,KRXI-TV,RENO,
NASAHD,ORLANDO-DAYTONA BCH-MELBRN,,,,
WCBDDT2,CHARLESTON SC,NBC,WCBD-TV,CHARLESTON SC,
WFXRDT,ROANOKE-LYNCHBURG,FOX,WFXR,ROANOKE-LYNCHBURG,
POPHD,NEW YORK,,,,
WWLDT,NEW ORLEANS,CBS,WWL-TV,NEW ORLEANS,
KDAFDT,DALLAS-FT. WORTH,CW,KDAF,DALLAS-FT. WORTH,
KUNPLD,PORTLAND OR,UNIVISION,KUNP,PORTLAND OR,
KYUULD,BOISE,-,KYUU-LD,-,
KTXLDT,SACRAMNTO-STKTON-MODESTO,FOX,KTXL,SACRAMNTO-STKTON-MODESTO,
KTVIDT,ST. LOUIS,FOX,KTVI,ST. LOUIS,
HDPPV,LOS ANGELES,,,,
FXM,LOS ANGELES,,,,
WTVCDT,CHATTANOOGA,ABC,WTVC,CHATTANOOGA,
SYFYHD,LOS ANGELES,,,,
KOKIDT,TULSA,FOX,KOKI-TV,TULSA,
WMAZDT2,MACON,CBS,WMAZ-TV,MACON,
HDNETMV,NEW YORK,,,,
WCAUDT,PHILADELPHIA,NBC,WCAU,PHILADELPHIA,
WYFFDT,GREENVLL-SPART-ASHEVLL-AND,NBC,WYFF,GREENVILLE-SPARTANBURG-ASHEVILLE-ANDERSON,
WGRZDT,BUFFALO,NBC,WGRZ,BUFFALO,
WGXADT2,MACON,FOX,WGXA,MACON,
KSATDT,SAN ANTONIO,ABC,KSAT-TV,SAN ANTONIO,
WAGADT,ATLANTA,FOX,WAGA-TV,ATLANTA,
TENISHD,LOS ANGELES,,,,
WVEADT,TAMPA-ST. PETE (SARASOTA),UNIVISION,WVEA-TV,TAMPA-ST. PETE (SARASOTA),
WLWCDT,PROVIDENCE-NEW BEDFORD,CW,WLWC,PROVIDENCE-NEW BEDFORD,
WTKRDT,NORFOLK-PORTSMTH-NEWPT NWS,CBS,WTKR,NORFOLK-PORTSMTH-NEWPT NWS,
HALLHD,LOS ANGELES,,,,
KUQIDT3,CORPUS CHRISTI,FOX,KUQI,CORPUS CHRISTI,
FXXHD,LOS ANGELES,,,,
WUCWDT,MINNEAPOLIS-ST. PAUL,CW,WUCW,MINNEAPOLIS-ST. PAUL,
KRISDT2,CORPUS CHRISTI,NBC/CW,KRIS-TV,CORPUS CHRISTI,
WLEXDT,LEXINGTON,NBC,WLEX-TV,LEXINGTON,
GSNHD,LOS ANGELES,,,,
WNETDT,NEW YORK,PBS,WNET,NEW YORK,
WSAVDT,SAVANNAH,NBC,WSAV-TV,SAVANNAH,
WCGVDT,MILWAUKEE,MYTV,WCGV-TV,MILWAUKEE,
WPBNDT,TRAVERSE CITY-CADILLAC,NBC,WPBN-TV,TRAVERSE CITY-CADILLAC,
WTICDT,HARTFORD & NEW HAVEN,FOX,WTIC-TV,HARTFORD & NEW HAVEN,
TOONHD,NEW YORK,,,,
KTVTDT,DALLAS-FT. WORTH,CBS,KTVT,DALLAS-FT. WORTH,
WNDUDT,SOUTH BEND-ELKHART,NBC,WNDU-TV,SOUTH BEND-ELKHART,
WVAHDT2,CHARLESTON-HUNTINGTON,FOX,WVAH-TV,CHARLESTON-HUNTINGTON,
WKYTDT2,LEXINGTON,CBS,WKYT-TV,LEXINGTON,
KRGVDT,HARLINGEN-WSLCO-BRNSVL-MCA,ABC,KRGV-TV,HARLINGEN-WSLCO-BRNSVL-MCA,
KUQIDT,CORPUS CHRISTI,FOX,KUQI,CORPUS CHRISTI,
WKEFDT,DAYTON,NBC,WKEF,DAYTON,
WFAADT,DALLAS-FT. WORTH,ABC,WFAA,DALLAS-FT. WORTH,
KTIVDT2,SIOUX CITY,NBC,KTIV,SIOUX CITY,
KBAKDT,BAKERSFIELD,CBS,KBAK-TV,BAKERSFIELD,
WTVCDT2,CHATTANOOGA,ABC,WTVC,CHATTANOOGA,
KOMODT,SEATTLE-TACOMA,ABC,KOMO-TV,SEATTLE-TACOMA,
WGEMDT3,QUINCY-HANNIBAL-KEOKUK,NBC,WGEM-TV,QUINCY-HANNIBAL-KEOKUK,
FYIHD,LOS ANGELES,,,,
WGTUDT,TRAVERSE CITY-CADILLAC,ABC,WGTU,TRAVERSE CITY-CADILLAC,
WTOLDT,TOLEDO,CBS,WTOL,TOLEDO,
KXASDT,DALLAS-FT. WORTH,NBC,KXAS-TV,DALLAS-FT. WORTH,
KDSMDT,DES MOINES-AMES,FOX,KDSM-TV,DES MOINES-AMES,
WRLHDT,RICHMOND-PETERSBURG,FOX,WRLH-TV,RICHMOND-PETERSBURG,
WUPADT,ATLANTA,THE CW NETWORK,WUPA,ATLANTA,
WNBWDT,GAINESVILLE,N/A,WNBW-DT,GAINESVILLE,
WGFLDT2,GAINESVILLE,CBS,WGFL,GAINESVILLE,
TNTHD,LOS ANGELES,,,,
WTTEDT,COLUMBUS OH,FOX,WTTE,COLUMBUS OH,
KMOVDT,ST. LOUIS,CBS,KMOV,ST. LOUIS,
KOTVDT,TULSA,CBS,KOTV-DT,TULSA,
KTVXDT,SALT LAKE CITY,ABC,KTVX,SALT LAKE CITY,
KPIXDT,SAN FRANCISCO-OAK-SAN JOSE,CBS,KPIX-TV,SAN FRANCISCO-OAK-SAN JOSE,
WALBDT2,ALBANY GA,NBC,WALB,ALBANY GA,
KTULDT,TULSA,ABC,KTUL,TULSA,
WRGBDT,ALBANY-SCHENECTADY-TROY,CBS,WRGB,ALBANY-SCHENECTADY-TROY,
WTLFDT,TALLAHASSEE-THOMASVILLE,CW,WTLF,TALLAHASSEE-THOMASVILLE,
KHQADT2,QUINCY-HANNIBAL-KEOKUK,CBS,KHQA-TV,QUINCY-HANNIBAL-KEOKUK,
WACHDT,COLUMBIA SC,FOX,WACH,COLUMBIA SC,
KIRODT,SEATTLE-TACOMA,CBS,KIRO-TV,SEATTLE-TACOMA,
KUCWDT,SALT LAKE CITY,CW,KUCW,SALT LAKE CITY,
FREFMHD,LOS ANGELES,,,,
KFDMDT2,BEAUMONT-PORT ARTHUR,CBS,KFDM,BEAUMONT-PORT ARTHUR,
WXLVDT,GREENSBORO-H.POINT-W.SALEM,ABC,WXLV-TV,GREENSBORO-H.POINT-W.SALEM,
CBSSNHD,NEW YORK,,,,
WBTVDT,CHARLOTTE,CBS,WBTV,CHARLOTTE,
AXSTV,LOS ANGELES,,,,
WNEMDT,FLINT-SAGINAW-BAY CITY,CBS,WNEM-TV,FLINT-SAGINAW-BAY CITY,
WWCPDT,JOHNSTOWN-ALTOONA-ST COLGE,FOX,WWCP-TV,JOHNSTOWN-ALTOONA-ST COLGE,
WPFODT,PORTLAND-AUBURN,FOX,WPFO,PORTLAND-AUBURN,
KOLODT,RENO,ABC,KOLO-TV,RENO,
WGFLDT,GAINESVILLE,CBS,WGFL,GAINESVILLE,
WTVFDT,NASHVILLE,CBS,WTVF,NASHVILLE,
KPTMDT,OMAHA,FOX,KPTM,OMAHA,
KYWDT,PHILADELPHIA,CBS,KYW-TV,PHILADELPHIA,
WNBCDT,NEW YORK,NBC,WNBC,NEW YORK,
WSBTDT2,SOUTH BEND-ELKHART,CBS,WSBT-TV,SOUTH BEND-ELKHART,
WRSPDT,CHAMPAIGN&SPRNGFLD-DECATUR,FOX,WRSP-TV,CHAMPAIGN&SPRNGFLD-DECATUR,
TRAVHD,LOS ANGELES,,,,
WFTVDT,ORLANDO-DAYTONA BCH-MELBRN,ABC,WFTV,ORLANDO-DAYTONA BCH-MELBRN,
KIMADT,YAKIMA-PASCO-RCHLND-KNNWCK,CBS,KIMA-TV,YAKIMA-PASCO-RCHLND-KNNWCK,
KOVRDT,SACRAMNTO-STKTON-MODESTO,CBS,KOVR,SACRAMNTO-STKTON-MODESTO,
WTATDT,CHARLESTON SC,FOX,WTAT-TV,CHARLESTON SC,
KUTVDT2,SALT LAKE CITY,CBS,KUTV,SALT LAKE CITY,
KXVODT,OMAHA,CW,KXVO,OMAHA,
WSTQLP,SYRACUSE,-,WSTQ-LP,-,
STRZIBH,LOS ANGELES,,,,
WFLIDT,CHATTANOOGA,CW,WFLI-TV,CHATTANOOGA,
WFMYDT,GREENSBORO-H.POINT-W.SALEM,CBS,WFMY-TV,GREENSBORO-H.POINT-W.SALEM,
THMAXHD,LOS ANGELES,,,,
HGTVD,LOS ANGELES,,,,
DJCHHD,LOS ANGELES,,,,
KBTVDT,BEAUMONT-PORT ARTHUR,-,KBTV-CD,-,
KMBCDT,KANSAS CITY,ABC,KMBC-TV,KANSAS CITY,
WNYWDT,NEW YORK,FOX,WNYW,NEW YORK,
WDEFDT,CHATTANOOGA,CBS,WDEF-TV,CHATTANOOGA,
KMTWDT,WICHITA-HUTCHINSON PLUS,MYTV,KMTW,WICHITA-HUTCHINSON PLUS,
CTRCHD,NEW YORK,,,,
WSWBDT,WILKES BARRE-SCRANTON-HZTN,CW,WSWB,WILKES BARRE-SCRANTON,
NGCHD,LOS ANGELES,,,,
TRUTVHD,NEW YORK,,,,
KXLYDT,SPOKANE,ABC,KXLY-TV,SPOKANE,
WDSUDT,NEW ORLEANS,NBC,WDSU,NEW ORLEANS,
WSWGDT,ALBANY GA,CBS,WSWG,ALBANY GA,
WSBDT,ATLANTA,ABC,WSB-TV,ATLANTA,
KWWLDT,CEDAR RAPIDS-WTRLO-IWC&DUB,NBC,KWWL,CEDAR RAPIDS-WTRLO-IWC&DUB,
WUPWDT,TOLEDO,FOX,WUPW,TOLEDO,
STZHD,NEW YORK,,,,
WUTVDT,BUFFALO,FOX,WUTV,BUFFALO,
KTVLDT2,MEDFORD-KLAMATH FALLS,CBS,KTVL,MEDFORD-KLAMATH FALLS,
WSPADT,GREENVLL-SPART-ASHEVLL-AND,CBS,WSPA-TV,GREENVLL-SPART-ASHEVLL-AND,
WZZMDT,GRAND RAPIDS-KALMZOO-B.CRK,ABC,WZZM,GRAND RAPIDS-KALMZOO-B.CRK,
DSCHD,LOS ANGELES,,,,
SPIKEHD,LOS ANGELES,,,,
KRCWDT,PORTLAND OR,-,KRCW-LP,-,
WHAMDT2,ROCHESTER NY,ABC,WHAM-TV,ROCHESTER NY,
WLOSDT,GREENVLL-SPART-ASHEVLL-AND,ABC,WLOS,GREENVLL-SPART-ASHEVLL-AND,
KMYSDT,SAN ANTONIO,MYTV,KMYS,SAN ANTONIO,
WFLIDT2,CHATTANOOGA,CW,WFLI-TV,CHATTANOOGA,
WGNODT,NEW ORLEANS,ABC,WGNO,NEW ORLEANS,
KRISDT,CORPUS CHRISTI,NBC/CW,KRIS-TV,CORPUS CHRISTI,
KHQADT,QUINCY-HANNIBAL-KEOKUK,CBS,KHQA-TV,QUINCY-HANNIBAL-KEOKUK,
KATVDT,LITTLE ROCK-PINE BLUFF,ABC,KATV,LITTLE ROCK-PINE BLUFF,
WPSDDT,PADUCAH-CAPE GIRARD-HARSBG,NBC,WPSD-TV,PADUCAH-CAPE GIRARD-HARSBG,
KMPHDT2,FRESNO-VISALIA,FOX,KMPH-TV,FRESNO-VISALIA,
WMYVDT,GREENSBORO-H.POINT-W.SALEM,MYTV,WMYV,GREENSBORO-H.POINT-W.SALEM,
WTTGDT,WASHINGTON DC (HAGRSTWN),FOX,WTTG,WASHINGTON DC (HAGRSTWN),
WSTMDT,SYRACUSE,NBC,WSTM-TV,SYRACUSE,
KICUDT,SAN FRANCISCO-OAK-SAN JOSE,IND,KICU-TV,SAN FRANCISCO-OAK-SAN JOSE,
KXANDT,AUSTIN,NBC,KXAN-TV,AUSTIN,
KTNVDT,LAS VEGAS,ABC,KTNV-TV,LAS VEGAS,
WUTBDT,BALTIMORE,MY NETWORK,WUTB,BALTIMORE,
WCIVDT2,CHARLESTON SC,MYTV,WCIV,CHARLESTON SC,
CCHD,LOS ANGELES,,,,
KVIEDT,SACRAMNTO-STKTON-MODESTO,PBS,KVIE,SACRAMNTO-STKTON-MODESTO,
KMIZDT,COLUMBIA-JEFFERSON CITY,ABC,KMIZ,COLUMBIA-JEFFERSON CITY,
KSCIDT8,LOS ANGELES,IND,KSCI,LOS ANGELES,
WHPDT3,HARRISBURG-LNCSTR-LEB-YORK,CBS,WHP-TV,HARRISBURG-LNCSTR-LEB-YORK,
WRCDT,WASHINGTON DC (HAGRSTWN),NBC,WRCB,CHATTANOOGA,
KJRHDT,TULSA,NBC,KJRH-TV,TULSA,
WKRCDT,CINCINNATI,CBS,WKRC-TV,CINCINNATI,
WTXFDT,PHILADELPHIA,FOX,WTXF-TV,PHILADELPHIA,
WTAJDT,JOHNSTOWN-ALTOONA-ST COLGE,CBS,WTAJ-TV,JOHNSTOWN-ALTOONA-ST COLGE,
BRAVOHD,NEW YORK,,,,
NGWIHD,LOS ANGELES,,,,
WTOCDT,SAVANNAH,CBS,WTOC-TV,SAVANNAH,
WNABDT,NASHVILLE,CW,WNAB,NASHVILLE,
BIG10HD,MINNEAPOLIS-ST. PAUL,,,,
OWNHD,NEW YORK,,,,
KREMDT,SPOKANE,CBS,KREM,SPOKANE,
KQFXLD,COLUMBIA-JEFFERSON CITY,-,KQFX-LD,-,
KDNLDT,ST. LOUIS,ABC,KDNL-TV,ST. LOUIS,
KVCWDT2,LAS VEGAS,CW,KVCW,LAS VEGAS,
KSDKDT,ST. LOUIS,NBC,KSDK,ST. LOUIS,
WPXNDT,NEW YORK,ION,WPXN-TV,NEW YORK,
WOWKDT,CHARLESTON-HUNTINGTON,CBS,WOWK-TV,CHARLESTON-HUNTINGTON,
KDFWDT,DALLAS-FT. WORTH,FOX,KDFW,DALLAS-FT. WORTH,
WTVGDT2,TOLEDO,ABC,WTVG,TOLEDO,
KRNVDT,RENO,NBC,KRNV-DT,RENO,
KTVNDT,RENO,CBS,KTVN,RENO,
KARKDT,LITTLE ROCK-PINE BLUFF,NBC,KARK-TV,LITTLE ROCK-PINE BLUFF,
WABCDT,NEW YORK,ABC,WABC-TV,NEW YORK,
ESPNWHD,LOS ANGELES,,,,
KBYUDT,SALT LAKE CITY,PBS,KBYU-TV,SALT LAKE CITY,
KNBCDT,LOS ANGELES,NBC,KNBC,LOS ANGELES,
WSBTDT,SOUTH BEND-ELKHART,CBS,WSBT-TV,SOUTH BEND-ELKHART,
WFLDDT,CHICAGO,FOX,WFLD,CHICAGO,
WNYODT,BUFFALO,MYTV,WNYO-TV,BUFFALO,
WJZYDT,CHARLOTTE,FOX,WJZY,CHARLOTTE,
SZESUHD,NEW YORK,,,,
WCTVDT,TALLAHASSEE-THOMASVILLE,CBS,WCTV,TALLAHASSEE-THOMASVILLE,
WBREDT,WILKES BARRE-SCRANTON-HZTN,NBC,WBRE-TV,WILKES BARRE-SCRANTON,
KRCGDT,COLUMBIA-JEFFERSON CITY,CBS,KRCG,COLUMBIA-JEFFERSON CITY,
USAHD,NEW YORK,,,,
WIVBDT,BUFFALO,CBS,WIVB-TV,BUFFALO,
KFDADT,AMARILLO,CBS,KFDA-TV,AMARILLO,
KMPHDT,FRESNO-VISALIA,FOX,KMPH-TV,FRESNO-VISALIA,
WGNA,LOS ANGELES,IND,WGGS-TV,GREENVLL-SPART-ASHEVLL-AND,
WFUTDT,LOS ANGELES,UNIMAS,WFUT-DT,NEW YORK,
WUXPDT,NASHVILLE,MYTV,WUXP-TV,NASHVILLE,
WSAVDT2,SAVANNAH,NBC,WSAV-TV,SAVANNAH,
WTGSDT,SAVANNAH,FOX,WTGS,SAVANNAH,
WPIXDT,NEW YORK,CW,WPIX,NEW YORK,
KLSRDT,EUGENE,FOX,KLSR-TV,EUGENE,
WFXLDT,ALBANY GA,FOX,WFXL,ALBANY GA,
WHTMDT,HARRISBURG-LNCSTR-LEB-YORK,ABC,WHTM-TV,HARRISBURG-LNCSTR-LEB-YORK,
WKYTDT,LEXINGTON,CBS,WKYT-TV,LEXINGTON,
WQCWDT,CHARLESTON-HUNTINGTON,CW,WQCW,CHARLESTON-HUNTINGTON,
WCSHDT,PORTLAND-AUBURN,NBC,WCSH,PORTLAND-AUBURN,
IDHD,LOS ANGELES,,,,
WBRCDT,BIRMINGHAM (ANN AND TUSC),FOX,WBRC,BIRMINGHAM (ANN TUSC),
WBDTDT,DAYTON,CW,WBDT,DAYTON,
WCCODT,MINNEAPOLIS-ST. PAUL,CBS,WCCO-TV,MINNEAPOLIS-ST. PAUL,
WMTWDT,PORTLAND-AUBURN,ABC,WMTW,PORTLAND-AUBURN,
LIFEHD,LOS ANGELES,,,,
KQCWDT,TULSA,CW,KQCW-DT,TULSA,
WTENDT,ALBANY-SCHENECTADY-TROY,ABC,WTEN,ALBANY-SCHENECTADY-TROY,
KAMEDT,RENO,MYTV,KAME-TV,RENO,
AMCHD,LOS ANGELES,,,,
WXTVDT,LOS ANGELES,UNIVISION,WXTV-DT,NEW YORK,
WCWFDT,GREEN BAY-APPLETON,CW,WCWF,GREEN BAY-APPLETON,
WNJUDT,NEW YORK,TELEMUNDO,WNJU,NEW YORK,
WFGXDT,MOBILE-PENSACOLA (FT WALT),MYTV,WFGX,MOBILE-PENSACOLA (FT WALT),
WTAEDT,PITTSBURGH,ABC,WTAE-TV,PITTSBURGH,
FNCHD,LOS ANGELES,,,,
WAVYDT,NORFOLK-PORTSMTH-NEWPT NWS,NBC,WAVY-TV,NORFOLK-PORTSMTH-NEWPT NWS,
WGMEDT,PORTLAND-AUBURN,CBS,WGME-TV,PORTLAND-AUBURN,
WICSDT,CHAMPAIGN&SPRNGFLD-DECATUR,NBC,WICS,CHAMPAIGN&SPRNGFLD-DECATUR,
WFSBDT,HARTFORD & NEW HAVEN,CBS,WFSB,HARTFORD & NEW HAVEN,
WXMIDT,GRAND RAPIDS-KALMZOO-B.CRK,FOX,WXMI,GRAND RAPIDS-KALMZOO-B.CRK,
KBFXCD,BAKERSFIELD,-,KBFX-CD,-,
KVIIDT,AMARILLO,CBS,KVII-TV,AMARILLO,
WTVZDT,NORFOLK-PORTSMTH-NEWPT NWS,MYTV,WTVZ-TV,NORFOLK-PORTSMTH-NEWPT NWS,
WKOWDT,MADISON,ABC,WKOW,MADISON,
WWCWDT,ROANOKE-LYNCHBURG,FOX,WWCW,ROANOKE-LYNCHBURG,
KCWIDT,DES MOINES-AMES,CW,KCWI-TV,DES MOINES-AMES,
WMYTDT,CHARLOTTE,MNT,WMYT-TV,CHARLOTTE,
KABCDT,LOS ANGELES,ABC,KABC-TV,LOS ANGELES,
WWTVDT,TRAVERSE CITY-CADILLAC,CBS,WWTV,TRAVERSE CITY-CADILLAC,
KSNWDT,WICHITA-HUTCHINSON PLUS,NBC,KSNW,WICHITA-HUTCHINSON PLUS,
HLNHD,LOS ANGELES,,,,
KAPPDT,YAKIMA-PASCO-RCHLND-KNNWCK,ABC,KAPP,YAKIMA-PASCO-RCHLND-KNNWCK,
KZTVDT,CORPUS CHRISTI,CBS,KZTV,CORPUS CHRISTI,
HBOHD,NEW YORK,,,,
WAXNDT,CHARLOTTE,IND,WAXN-TV,CHARLOTTE,
KAREDT,MINNEAPOLIS-ST. PAUL,NBC,KARE,MINNEAPOLIS-ST. PAUL,
WHNSDT,GREENVLL-SPART-ASHEVLL-AND,FOX,WHNS,GREENVLL-SPART-ASHEVLL-AND,
WHASDT,LOUISVILLE,ABC,WHAS-TV,LOUISVILLE,
WVUEDT,NEW ORLEANS,FOX,WVUE-DT,NEW ORLEANS,
WXIADT,ATLANTA,NBC,WXIA-TV,ATLANTA,
WOODDT,GRAND RAPIDS-KALMZOO-B.CRK,NBC,WOOD-TV,GRAND RAPIDS-KALMZOO-B.CRK,
WLFLDT,RALEIGH-DURHAM (FAYETVLLE),CW,WLFL,RALEIGH-DURHAM (FAYETVLLE),
WBTSLD,BOSTON (MANCHESTER),-,WBTS-LD,-,
WZTVDT,NASHVILLE,FOX,WZTV,NASHVILLE,
ESPNUHD,NEW YORK,,,,
WYOUDT,WILKES BARRE-SCRANTON-HZTN,CBS,WYOU,WILKES BARRE-SCRANTON,
WBMALD,BIRMINGHAM (ANN AND TUSC),-,WBMA-LD,-,
WWMTDT2,GRAND RAPIDS-KALMZOO-B.CRK,CBS,WWMT,GRAND RAPIDS-KALMZOO-B.CRK,
KSLDT,SALT LAKE CITY,NBC,KSL-TV,SALT LAKE CITY,
WCBSDT,NEW YORK,CBS,WCBS-TV,NEW YORK,
COOKHD,NEW YORK,,,,
WHOIDT,PEORIA-BLOOMINGTON,ABC,WHOI,PEORIA-BLOOMINGTON,
WTWCDT2,TALLAHASSEE-THOMASVILLE,NBC,WTWC-TV,TALLAHASSEE-THOMASVILLE,
KXTVDT,SACRAMNTO-STKTON-MODESTO,ABC,KXTV,SACRAMNTO-STKTON-MODESTO,
DIYHD,LOS ANGELES,,,,
WJACDT,JOHNSTOWN-ALTOONA-ST COLGE,NBC,WJAC-TV,JOHNSTOWN-ALTOONA-ST COLGE,
KMTRDT2,EUGENE,NBC,KMTR,EUGENE,
KDFIDT,DALLAS-FT. WORTH,MY NETWORK,KDFI,DALLAS-FT. WORTH,
WLUKDT,GREEN BAY-APPLETON,FOX,WLUK-TV,GREEN BAY-APPLETON,
MGMHD,PHILADELPHIA,,,,
KCRGDT,CEDAR RAPIDS-WTRLO-IWC&DUB,ABC,KCRG-TV,CEDAR RAPIDS-WTRLO-IWC&DUB,
KFREDT,FRESNO-VISALIA,CW,KFRE-TV,FRESNO-VISALIA,
KBCWDT,SAN FRANCISCO-OAK-SAN JOSE,THE CW NETWORK,KBCW,SAN FRANCISCO-OAK-SAN JOSE,
KOBIDT,MEDFORD-KLAMATH FALLS,NBC,KOBI,MEDFORD-KLAMATH FALLS,
WMYADT,GREENVLL-SPART-ASHEVLL-AND,MYTV,WMYA-TV,GREENVLL-SPART-ASHEVLL-AND,
